"sku","barcode","name","description","client_owner_id","product_family","velocity_class","unit_cost","minimum_stock_level","maximum_stock_level","pick_down_to_level","supplier_lead_time_days","temperature_requirement","lot_tracked","batch_tracked","expiry_tracked","rotation_method","active"
"GJMASK01BK","MASK01BK","Wellday 10-Pk Surgical Mask - Black 400Pks/Cs","","","Institutional Supplies : Personal Protection","","0.3","","","","","ambient","true","true","true","fefo","true"
"GJMASK01BL","MASK01BL","Wellday 10Pk Surgical Mask - Blue  400Pks/Cs","","","Institutional Supplies : Personal Protection","","0.27","","","","","ambient","true","true","true","fefo","true"
"GJMASK01WH","MASK01WH","Wellday 10Pk Surgical Mask - White  400Pks/Cs","","","Institutional Supplies : Personal Protection","","0.38","","","","","ambient","true","true","true","fefo","true"
"HDVAP-4025","VAP-4025","Clear Vinyl Reusuable Heavy Gauge Apron (38 X 25)  72/Cs","","","Institutional Supplies : Personal Protection","","6.75","","","","","ambient","true","true","true","fefo","true"
"NP414","414","Norpro Silicone/Fabric Oven Glove - Black","","","Institutional Supplies : Foodservice","","8.34","","","","","ambient","true","true","true","fefo","true"
"NP414C","414C","Norpro Silicone/Fabric Oven Glove - Blue","","","Institutional Supplies : Foodservice","","8.34","","","","","ambient","true","true","true","fefo","true"
"NP414R","414R","Norpro Silicone/Fabric Oven Glove - Red","","","Institutional Supplies : Foodservice","","8.34","","","","","ambient","true","true","true","fefo","true"
"SZGVP9-LG-1B","GVP9-LG-1-BL","Vinyl Blue Powder-Free Gloves - Large   10/100","","","Institutional Supplies : Personal Protection","","20.85","","","","","ambient","true","true","true","fefo","true"
"SZGVP9-LG-2-","GVP9-LG-2-BL","Vinyl Blue Powder-Free Gloves - Large   10/200","","","Institutional Supplies : Personal Protection","","39.8","","","","","ambient","true","true","true","fefo","true"
"SZGVP9-LRG","GVP9-LG-1","Vinyl Powder-Free Gloves - Large   10/100","","","Institutional Supplies : Personal Protection","","19","","","","","ambient","true","true","true","fefo","true"
"SZGVP9-MD-1B","GVP9-MD-1-BL","Vinyl Blue Powder-Free Gloves - Medium   10/100","","","Institutional Supplies : Personal Protection","","20.85","","","","","ambient","true","true","true","fefo","true"
"SZGVP9-MD-2-","GVP9-MD-2-BL","Vinyl Blue Powder-Free Gloves - Medium   10/200","","","Institutional Supplies : Personal Protection","","39.8","","","","","ambient","true","true","true","fefo","true"
"SZGVP9-MED","GVP9-MD-1","Vinyl Powder-Free Gloves - Medium   10/100","","","Institutional Supplies : Personal Protection","","19","","","","","ambient","true","true","true","fefo","true"
"SZGVP9-SML","GVP9-SM-1","Vinyl Powder-Free Gloves - Small   10/100","","","Institutional Supplies : Personal Protection","","18.14","","","","","ambient","true","true","true","fefo","true"
"SZGVP9-XL-1B","GVP9-XL-1-BL","Vinyl Blue Powder-Free Gloves - X-Large   10/100","","","Institutional Supplies : Personal Protection","","20.85","","","","","ambient","true","true","true","fefo","true"
"SZGVP9-XL-2-","GVP9-XL-2-BL","Vinyl Blue Powder-Free Gloves - X-Large   10/200","","","Institutional Supplies : Personal Protection","","39.8","","","","","ambient","true","true","true","fefo","true"
"SZGVP9-XLRG","GVP9-XL-1","Vinyl Powder-Free Gloves - X-Lrg   10/100","","","Institutional Supplies : Personal Protection","","19","","","","","ambient","true","true","true","fefo","true"
"SZZ-8608L","Z-8608L","Proguard Vinyl Powder-Free Gloves - Large   10/100","","","Institutional Supplies : Personal Protection","","22.5","","","","","ambient","true","true","true","fefo","true"
"UGGA0014","GA0014","Protect Hd Latex Extended Cuff Blue Latex Gloves - Lrg 10/50","","","Institutional Supplies : Personal Protection","","75","","","","","ambient","true","true","true","fefo","true"
"UGGA0015","GA0015","Protect Hd Latex Extended Cuff Blue Latex Gloves - Xlrg 10/50","","","Institutional Supplies : Personal Protection","","75","","","","","ambient","true","true","true","fefo","true"
"UGGA0043","GA0043","Protect Black Nitrile Powder Free Gloves - Medium  10/100","","","Institutional Supplies : Personal Protection","","42.35","","","","","ambient","true","true","true","fefo","true"
"UGGA0044","GA0044","Protect Black Nitrile Powder Free Gloves - Large  10/100","","","Institutional Supplies : Personal Protection","","37","","","","","ambient","true","true","true","fefo","true"
"UGGA0045","GA0045","Protect Black Nitrile Powder Free Gloves - X Large  10/100","","","Institutional Supplies : Personal Protection","","42.35","","","","","ambient","true","true","true","fefo","true"
"UGGA0054","GA0054","Protect Orange Nitrile Powder Free Gloves - Large  10/100","","","Institutional Supplies : Personal Protection","","50.81","","","","","ambient","true","true","true","fefo","true"
"UGGA0055","GA0055","Protect Orange Nitrile Powder Free Gloves - X-Large  10/100","","","Institutional Supplies : Personal Protection","","50.81","","","","","ambient","true","true","true","fefo","true"
"UGGA0065","GA0065","Protect Black Nitrile Powder Free Hd Gloves - Xlarge 10/100","","","Institutional Supplies : Personal Protection","","69","","","","","ambient","true","true","true","fefo","true"
"UGGA0084","GA0084","Protect Green Nitrile Powder Free Gloves - Large  10/100","","","Institutional Supplies : Personal Protection","","69","","","","","ambient","true","true","true","fefo","true"
"UGGF0012","GF0012","Unicare Nitrile Powder Free Exam Gloves - Small  10/100","","","Institutional Supplies : Personal Protection","","18","","","","","ambient","true","true","true","fefo","true"
"UGGF0015","GF0015","Unicare Nitrile Powder Free Exam Gloves - X Large  10/100","","","Institutional Supplies : Personal Protection","","18","","","","","ambient","true","true","true","fefo","true"
"UGGM0025","GM0025","Supergrip Latex Powder Free Gloves - X-Large  10/100","","","Institutional Supplies : Personal Protection","","22.08","","","","","ambient","true","true","true","fefo","true"
