"sku","barcode","name","description","client_owner_id","product_family","velocity_class","unit_cost","minimum_stock_level","maximum_stock_level","pick_down_to_level","supplier_lead_time_days","temperature_requirement","lot_tracked","batch_tracked","expiry_tracked","rotation_method","active"
"AAC12BOTT","32225-07072","12oz Glass Bottle ( Use CAP38400 )  12/Cs","","","Disposables : Bottles & Caps","","6.06","","","","","","","","","","true"
"AAC12JART","32225-07157","12oz Glass Mayo Jar ( Use CAP70G450 )  12/Cs","","","Disposables : Bottles & Caps","","0","","","","","","","","","","true"
"AAC16JART","32225-00031","16oz Glass Mayo Jar ( Use CAP70G )  12/Cs","","","Disposables : Bottles & Caps","","7.04","","","","","","","","","","true"
"AAC50LIQ","37114-00001","50ml Plastic Liquor Bottle ( Use CAP18 ) 1500/Cs","","","Disposables : Bottles & Caps","","252.21","","","","","","","","","","true"
"AAC750LIQ","35658-00023","750ml Tall Glass Bottle ( Use CAP28350 ) 12/Cs","","","Disposables : Bottles & Caps","","9","","","","","","","","","","true"
"AAC8JARP","10158-00044","8oz Glass Mayo Jar ( Use CAP58400 )  24/Cs","","","Disposables : Bottles & Caps","","4.2","","","","","","","","","","true"
"AACCAP18","10059-00016","18mm Gold Linerless Cap ( For 50ml Bottle )  5000/Cs","","","Disposables : Bottles & Caps","","150","","","","","","","","","","true"
"AACCAP18B","10059-71710","18mm Black Linerless Cap ( For 50ml Bottle )  5000/Cs","","","Disposables : Bottles & Caps","","149.99","","","","","","","","","","true"
"AACCAP24414B","CAP24414B","24mm Black Lined Cap ( For 10oz Bottle )  5000/Cs","","","Disposables : Bottles & Caps","","0","","","","","","","","","","true"
"AACCAP24414W","CAP24414W","24mm White Cap ( For 10oz Bottle )  5500/Cs","","","Disposables : Bottles & Caps","","104.23","","","","","","","","","","true"
"AACCAP28350","11570-00001","28mm Gold Linerless Cap ( For 750ml Bottle )  2300/Cs","","","Disposables : Bottles & Caps","","93.15","","","","","","","","","","true"
"AACCAP38400","11655-00101","38mm White Cap ( For 12oz Bottle )  2900/Cs","","","Disposables : Bottles & Caps","","114.42","","","","","","","","","","true"
"AACCAP38400B","11655-10917","38mm Black Cap ( For 12oz Bottle )  2900/Cs","","","Disposables : Bottles & Caps","","107.76","","","","","","","","","","true"
"AACCAP58400","11723-00092","58mm White Sureseal Lined Cap ( For 8oz Mayo Jar )  1850/Cs","","","Disposables : Bottles & Caps","","142.55","","","","","","","","","","true"
"AACCAP70G","11120-70157","70mm Gold Metal Cap With Push Button  (For 16Jart )  1050/Cs","","","Disposables : Bottles & Caps","","0","","","","","","","","","","true"
"AACCAP70G450","11723-00056","70mm White Sureseal Lined Cap ( For 12oz & 16oz Jar )","","","Disposables : Bottles & Caps","","0.11","","","","","","","","","","true"
"AACCAP70R450","CAP70R450","70mm Red Metal Cap With Push Button  (For 12Jart )  725/Cs","","","Disposables : Bottles & Caps","","0","","","","","","","","","","true"
"ABFLMCHLD","FLMCHLD","Flamingo Mosquito Coil Holder 24/Cs","","","Equipment : Heating","","30","","","","","","","","","","true"
"ABFLMH","FLMH","Flamingo Electric Mat Heater 24/Cs","","","Equipment : Heating","","57.25","","","","","","","","","","true"
"ABFLVM15","FLVM15","Flamingo Mosquito Vape Mats 15/Box   96-Bxs/Cs","","","Equipment : Heating","","58.85","","","","","","","","","","true"
"ABTEDFP52","TEDFP52","Teddy Green Scouring Pad 10/Pk   36 Pks/Cs","","","Institutional Supplies : Cleaning Supplies","","69.05","","","","","","","","","","true"
"ACMFB6GY","MFB6GY","Grey 6 Gallon Mop Bucket With Black Handle & Removable Cover","","","Institutional Supplies : Cleaning Supplies","","29","","","","","","","","","","true"
"ACSPARBL1G-6","SPARBL1G-6","Sparkle 1 Gallon Bleach ( 5.25% Bleach )   6/Cs","","","Institutional Supplies : Cleaning Supplies","","8.12","","","","","","","","","","true"
"ACSPARBL950S","SPARBL950SC","Sparkle 950ml Bleach 20/Cs","","","Institutional Supplies : Cleaning Supplies","","9.38","","","","","","","","","","true"
"ACSPARBW4L","SPARBW4L","Sparkle 4L Moisturizing Body Wash - Vanilla Honey 4/Cs","","","Institutional Supplies : Cleaning Supplies","","18","","","","","","","","","","true"
"ACSPARFAB","SPARFAB","Sparkle 5L Fabric Softener 3/Cs","","","Institutional Supplies : Cleaning Supplies","","5.84","","","","","","","","","","true"
"ACSPARLAUN","SPARLAUN","Sparkle 5L Liquid Laundry Detergent 3/Cs","","","Institutional Supplies : Cleaning Supplies","","8.34","","","","","","","","","","true"
"AF226331","712003","Pro Brands White Almond Hand Soap 4 X 1-Gal","","","Institutional Supplies : Cleaning Supplies","","21.64","","","","","","","","","","true"
"AFLA102-020","LA102-020","Lapaco 20"" Normandy Lace White Doilies     250/Box  4-Bxs/Cs","","","Disposables","","121.32","","","","","","","","","","true"
"AFLA109-195","LA109-195","Lapaco 5"" Normandy Lace White Doilies   1000/Box 10-Boxs/Cs","","","Disposables","","98.7","","","","","","","","","","true"
"AFLA109-196","LA109-196","Lapaco 6"" Normandy Lace White Doilies   1000/Box 10-Bxs/Cs","","","Disposables","","123.3","","","","","","","","","","true"
